Time (s),Upstream (V),Downstream (V)
41.867,0.26864,0.14239
41.9,0.27628,0.13857
41.933,0.27119,0.14621
41.967,0.26864,0.13475
42,0.27501,0.13602
42.033,0.27246,0.14621
42.067,0.27374,0.14621
42.1,0.27246,0.15385
42.133,0.27628,0.14494
42.167,0.26864,0.15003
42.2,0.26355,0.14621
42.233,0.25464,0.14239
42.267,0.24827,0.14366
42.3,0.25591,0.14748
42.333,0.24573,0.14494
42.367,0.25337,0.14494
42.4,0.24827,0.15003
42.433,0.26737,0.14494
42.467,0.25973,0.14112
42.5,0.27756,0.15767
42.533,0.26228,0.1513
42.567,0.26355,0.14494
42.6,0.27374,0.11692
42.633,0.26483,0.14748
42.667,0.27374,0.14621
42.7,0.27119,0.14748
42.733,0.26992,0.14621
42.767,0.26864,0.15258
42.8,0.27628,0.14621
42.833,0.26355,0.15385
42.867,0.25846,0.15385
42.9,0.27246,0.15003
42.933,0.2661,0.14748
42.967,0.26483,0.15512
43,0.26228,0.15258
43.033,0.26101,0.14112
43.067,0.25591,0.14748
43.1,0.27374,0.15385
43.133,0.27119,0.1513
43.167,0.28392,0.15385
43.2,0.28392,0.1513
43.233,0.2801,0.14494
43.267,0.2852,0.14112
43.3,0.28392,0.14621
43.333,0.2801,0.15003
43.367,0.27501,0.14876
43.4,0.28265,0.14366
43.433,0.26737,0.1564
43.467,0.26228,0.13348
43.5,0.26864,0.1564
43.533,0.27374,0.1513
43.567,0.25591,0.14366
43.6,0.25719,0.14876
43.633,0.26483,0.14748
43.667,0.25719,0.14621
43.7,0.26992,0.15512
43.733,0.25973,0.15894
43.767,0.26101,0.14876
43.8,0.25973,0.14876
43.833,0.26864,0.15385
43.867,0.2661,0.15258
43.9,0.26737,0.15258
43.933,0.26864,0.15512
43.967,0.26101,0.1513
44,0.28392,0.14621
44.033,0.27246,0.14621
44.067,0.27628,0.12074
44.1,0.27501,0.14876
44.133,0.27883,0.15385
44.167,0.27628,0.14366
44.2,0.26864,0.14621
44.233,0.26992,0.14366
44.267,0.26483,0.14494
44.3,0.27883,0.15003
44.333,0.26864,0.14621
44.367,0.28138,0.1373
44.4,0.27756,0.14366
44.433,0.28774,0.14876
44.467,0.2852,0.15512
44.5,0.27628,0.13093
44.533,0.27628,0.1513
44.567,0.2661,0.15003
44.6,0.25719,0.1513
44.633,0.25337,0.14876
44.667,0.26864,0.14748
44.7,0.26737,0.14366
44.733,0.2661,0.14748
44.767,0.26355,0.15003
44.8,0.26483,0.14621
44.833,0.26992,0.14748
44.867,0.26101,0.14366
44.9,0.27119,0.1513
44.933,0.2661,0.14748
44.967,0.26864,0.15003
45,0.26228,0.15767
45.033,0.28138,0.14748
45.067,0.26737,0.15003
45.1,0.2852,0.16404
45.133,0.29029,0.1704
45.167,0.27374,0.15894
45.2,0.27628,0.16404
45.233,0.27501,0.16276
45.267,0.27628,0.16022
45.3,0.27119,0.15767
45.333,0.28647,0.16022
45.367,0.28265,0.1513
45.4,0.26101,0.15003
45.433,0.25846,0.14876
45.467,0.26355,0.14366
45.5,0.26228,0.14494
45.533,0.25846,0.11438
45.567,0.26992,0.15003
45.6,0.26355,0.14239
45.633,0.26992,0.15003
45.667,0.26737,0.14366
45.7,0.26355,0.14748
45.733,0.25719,0.14748
45.767,0.26355,0.14748
45.8,0.2661,0.13857
45.833,0.26228,0.14366
45.867,0.25973,0.14112
45.9,0.24955,0.14239
